Site,Latitude,Longitude,Time,Type,Protocol,Latency,Average Latency,Total Latency,Forecast max,Forecast min,Confidence Level,Volatility,Packet loss,Application type
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,UDP,36.96,63.29,62.68,38.31,35.82,99.25,0.9,0.0,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,HTTP,74.7,62.06,62.68,78.32,70.24,97.73,0.67,0.0,Social Commerce
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,HTTPS,73.66,62.06,62.68,77.16,70.55,96.62,0.91,0.0,Social Commerce
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,TCP,68.46,62.06,62.68,71.35,65.07,97.28,0.0,0.04,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,ICMP,50.35,62.06,62.68,52.4,48.55,95.67,0.1,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,TWAMP,50.47,62.06,62.68,53.63,48.27,95.97,0.65,0.0,Network Management
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,UDP,54.75,62.06,62.68,56.81,52.19,97.5,0.83,0.01,Communication
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,HTTP,69.87,69.39,65.2,73.28,65.78,95.81,0.13,0.01,Social Commerce
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,HTTPS,73.96,69.39,65.2,78.32,69.53,98.68,0.33,0.01,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,TCP,79.53,69.39,65.2,83.28,75.32,95.53,0.74,0.0,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,ICMP,60.17,69.39,65.2,63.72,57.67,97.44,0.22,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,TWAMP,73.47,69.39,65.2,76.48,69.81,96.38,0.87,0.02,Network Management
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,UDP,59.37,69.39,65.2,62.38,55.63,96.97,0.94,0.01,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,HTTP,78.68,61.0,65.2,83.16,74.78,95.82,0.79,0.01,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,HTTPS,85.89,61.0,65.2,90.96,81.76,95.22,0.35,0.0,Communication
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,TCP,76.13,61.0,65.2,79.42,72.45,98.08,0.28,0.02,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,ICMP,43.16,61.0,65.2,44.64,40.64,98.49,0.52,0.0,Network Management
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,TWAMP,51.31,61.0,65.2,53.65,49.05,98.02,0.03,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,UDP,30.82,61.0,65.2,31.81,29.43,96.33,0.59,0.01,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,HTTP,72.69,66.05,64.24,76.06,68.53,96.32,0.65,0.0,Communication
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,HTTPS,97.75,66.05,64.24,103.08,92.25,95.98,0.59,0.01,Multimedia Streaming
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,TCP,84.87,66.05,64.24,89.86,80.03,95.69,0.03,0.02,Communication
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,ICMP,45.68,66.05,64.24,47.93,43.62,96.74,0.62,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,TWAMP,53.65,66.05,64.24,56.93,51.55,95.52,0.82,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,UDP,41.68,66.05,64.24,43.7,38.96,95.14,0.91,0.01,Multimedia Streaming
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,HTTP,73.46,62.42,64.24,77.79,69.59,98.14,0.36,0.01,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,HTTPS,81.27,62.42,64.24,85.46,76.53,96.07,0.03,0.01,Communication
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,TCP,55.51,62.42,64.24,59.0,52.37,99.08,0.64,0.0,Voice and File Transfer
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,ICMP,55.73,62.42,64.24,58.46,53.0,95.17,0.75,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,TWAMP,69.94,62.42,64.24,73.92,66.61,97.11,0.12,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,UDP,38.63,62.42,64.24,40.86,36.46,97.49,0.59,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,HTTP,66.45,62.37,62.01,69.41,63.57,95.29,0.24,0.01,Multimedia Streaming
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,HTTPS,92.5,62.37,62.01,96.52,88.49,96.35,0.89,0.0,Multimedia Streaming
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,TCP,58.29,62.37,62.01,61.84,54.73,95.34,0.72,0.01,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,ICMP,44.33,62.37,62.01,46.74,42.73,98.1,0.46,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,TWAMP,63.89,62.37,62.01,67.15,60.41,97.26,0.97,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,UDP,48.77,62.37,62.01,50.49,46.67,97.73,0.61,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,HTTP,71.64,61.66,62.01,75.91,68.26,95.22,0.95,0.01,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,HTTPS,94.08,61.66,62.01,98.67,89.49,98.12,0.03,0.01,Social Commerce
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,TCP,58.62,61.66,62.01,62.04,56.23,99.36,0.35,0.01,Voice and File Transfer
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,ICMP,52.95,61.66,62.01,55.43,50.69,95.44,0.18,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,TWAMP,62.14,61.66,62.01,64.77,58.94,95.98,0.99,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,UDP,30.51,61.66,62.01,31.43,29.66,98.33,0.33,0.01,Communication
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,HTTP,72.35,64.16,66.69,75.7,69.5,99.44,0.12,0.0,Communication
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,HTTPS,79.52,64.16,66.69,83.58,75.51,99.98,0.86,0.01,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,TCP,76.19,64.16,66.69,80.47,71.61,95.55,0.22,0.03,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,ICMP,43.64,64.16,66.69,46.09,40.75,99.26,0.93,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,TWAMP,56.27,64.16,66.69,58.39,52.73,99.43,0.34,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,UDP,56.97,64.16,66.69,59.66,54.2,97.55,0.66,0.0,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,HTTP,66.32,69.22,66.69,69.21,62.44,95.2,0.53,0.0,Communication
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,HTTPS,87.65,69.22,66.69,91.86,83.41,99.83,0.39,0.01,Multimedia Streaming
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,TCP,79.46,69.22,66.69,83.73,75.47,96.87,0.94,0.04,Voice and File Transfer
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,ICMP,54.82,69.22,66.69,57.48,52.03,95.94,0.17,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,TWAMP,75.54,69.22,66.69,78.94,72.31,97.27,0.19,0.01,Network Management
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,UDP,51.5,69.22,66.69,54.35,48.85,96.53,0.34,0.0,Multimedia Streaming
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,HTTP,65.77,67.5,63.69,68.58,63.26,96.29,0.93,0.0,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,HTTPS,86.88,67.5,63.69,91.62,83.07,99.07,0.63,0.01,Communication
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,TCP,82.26,67.5,63.69,85.95,78.22,95.64,0.38,0.05,Communication
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,ICMP,64.38,67.5,63.69,67.12,60.36,98.45,0.03,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,TWAMP,54.19,67.5,63.69,56.99,51.84,97.38,0.84,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,UDP,51.52,67.5,63.69,54.51,48.65,97.78,0.08,0.0,Multimedia Streaming
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,HTTP,69.52,59.88,63.69,72.88,66.42,95.44,0.11,0.0,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,HTTPS,75.03,59.88,63.69,79.55,71.89,96.39,0.61,0.0,Social Commerce
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,TCP,64.18,59.88,63.69,68.03,61.45,98.75,0.55,0.03,Communication
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,ICMP,38.44,59.88,63.69,40.6,35.95,95.47,0.34,0.0,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,TWAMP,65.82,59.88,63.69,69.74,62.36,97.86,0.65,0.01,Network Management
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,UDP,46.29,59.88,63.69,48.13,44.76,96.22,0.2,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,HTTP,68.98,65.75,66.28,72.64,65.34,96.13,0.91,0.01,Communication
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,HTTPS,87.25,65.75,66.28,91.94,82.81,96.99,0.75,0.0,Social Commerce
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,TCP,59.93,65.75,66.28,63.05,57.53,97.12,0.05,0.0,Communication
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,ICMP,57.37,65.75,66.28,60.78,54.74,99.75,0.26,0.01,Network Management
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,TWAMP,72.4,65.75,66.28,76.5,68.55,97.67,0.03,0.0,Network Management
