Site,Latitude,Longitude,Time,Type,Protocol,Latency,Average Latency,Total Latency
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,TWAMP,69.50594069875201,71.53,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,network,UDP,62.25030387949877,71.53,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,HTTP,74.07736429353929,62.95,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,HTTPS,86.35661172875217,62.95,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,TCP,85.49192520582858,62.95,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,ICMP,50.50961893642572,62.95,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,TWAMP,49.65254035258377,62.95,67.24
Quebec,45.505294,-73.613987,2023-06-01 02:00:00,app,UDP,31.605838974744046,62.95,67.24
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,HTTP,68.2851596418192,64.82,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,HTTPS,87.78837130976446,64.82,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,TCP,70.18802949701399,64.82,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,ICMP,40.490113802800195,64.82,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,TWAMP,74.39054303001859,64.82,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,network,UDP,47.80043978751512,64.82,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,HTTP,65.94455161278397,66.88,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,HTTPS,86.60282122098124,66.88,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,TCP,71.3709309950691,66.88,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,ICMP,54.17074401654566,66.88,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,TWAMP,67.88051696648914,66.88,65.85
Ontario,43.641128,-79.387787,2023-06-01 02:00:00,app,UDP,55.334294994760775,66.88,65.85
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,HTTP,77.95902244611712,64.16,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,HTTPS,84.35763893808533,64.16,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,TCP,73.95875157789905,64.16,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,ICMP,61.636693651514406,64.16,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,TWAMP,51.517944034768576,64.16,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,network,UDP,35.51594401549697,64.16,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,HTTP,71.62993483115486,71.39,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,HTTPS,87.71523988623807,71.39,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,TCP,82.18876742680948,71.39,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,ICMP,82.56624184971983,71.39,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,TWAMP,75.9694267669972,71.39,67.78
Manitoba,49.894225,-97.131744,2023-06-01 02:00:00,app,UDP,28.290169060199858,71.39,67.78
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,HTTP,79.40135855132215,67.19,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,HTTPS,81.49606584210017,67.19,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,TCP,81.06286260122098,67.19,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,ICMP,53.203771284963324,67.19,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,TWAMP,73.1095252171872,67.19,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,network,UDP,34.89525921519057,67.19,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,HTTP,75.00127788115537,61.89,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,HTTPS,97.8750581618527,61.89,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,TCP,55.7050836863543,61.89,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,ICMP,42.98230536407018,61.89,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,TWAMP,45.94988573003825,61.89,64.54
Quebec,45.505294,-73.613987,2023-06-01 04:00:00,app,UDP,53.852392742216374,61.89,64.54
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,HTTP,65.35555003457601,70.69,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,HTTPS,92.93889838613309,70.69,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,TCP,83.62702212938962,70.69,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,ICMP,77.65621854322609,70.69,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,TWAMP,53.35732657001741,70.69,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,network,UDP,51.21799229349706,70.69,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,HTTP,77.6865777410163,71.67,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,HTTPS,92.7235197705,71.67,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,TCP,80.1358475761735,71.67,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,ICMP,70.90484515570127,71.67,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,TWAMP,62.17259337559531,71.67,71.18
Ontario,43.641128,-79.387787,2023-06-01 04:00:00,app,UDP,46.41150783797453,71.67,71.18
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,HTTP,81.99341199859475,62.43,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,HTTPS,85.45373242039902,62.43,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,TCP,68.39867341600993,62.43,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,ICMP,41.68571500451066,62.43,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,TWAMP,46.68775548501275,62.43,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,network,UDP,50.35714102177421,62.43,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,HTTP,76.60278493552184,69.04,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,HTTPS,90.89332041224405,69.04,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,TCP,56.135602659402046,69.04,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,ICMP,90.87118939283008,69.04,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,TWAMP,52.74978722450095,69.04,65.73
Manitoba,49.894225,-97.131744,2023-06-01 04:00:00,app,UDP,46.99040563819667,69.04,65.73
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,HTTP,69.6044740875539,65.96,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,HTTPS,83.94310863686874,65.96,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,TCP,80.55583224489669,65.96,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,ICMP,60.85923414975374,65.96,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,TWAMP,66.5979549803442,65.96,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,network,UDP,34.170378413877984,65.96,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,HTTP,79.70922409185418,65.47,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,HTTPS,95.04431218142992,65.47,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,TCP,61.37946254938077,65.47,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,ICMP,54.64594778470419,65.47,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,TWAMP,47.42034364015571,65.47,65.71
Quebec,45.505294,-73.613987,2023-06-01 06:00:00,app,UDP,54.63717658947402,65.47,65.71
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,HTTP,68.04608157178207,70.96,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,HTTPS,91.82677356709097,70.96,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,TCP,86.74693582607577,70.96,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,ICMP,64.3089471249573,70.96,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,TWAMP,74.18179721920991,70.96,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,network,UDP,40.66542660536117,70.96,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,HTTP,71.61325397524365,63.18,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,HTTPS,84.07847934333404,63.18,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,TCP,59.82588405752735,63.18,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,ICMP,93.85571319018527,63.18,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,TWAMP,48.58750480192766,63.18,67.07
Ontario,43.641128,-79.387787,2023-06-01 06:00:00,app,UDP,21.09422985807336,63.18,67.07
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,HTTP,66.65272874788009,65.18,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,HTTPS,84.38083479669389,65.18,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,TCP,81.79750421570273,65.18,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,ICMP,44.826962985962886,65.18,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,TWAMP,62.15252842704167,65.18,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,network,UDP,51.24375773240836,65.18,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,HTTP,72.94956134826474,62.82,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,HTTPS,92.33636714394129,62.82,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,TCP,63.56142324004376,62.82,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,ICMP,54.20272690419527,62.82,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,TWAMP,59.905771956560024,62.82,64.0
Manitoba,49.894225,-97.131744,2023-06-01 06:00:00,app,UDP,33.978303475582614,62.82,64.0
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,HTTP,80.33219851872329,71.38,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,HTTPS,85.58549761171635,71.38,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,TCP,86.9650267258853,71.38,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,ICMP,45.83242504083364,71.38,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,TWAMP,75.82582282235585,71.38,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,network,UDP,53.74294008502655,71.38,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,HTTP,75.0267148417925,58.81,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,HTTPS,87.84965603201307,58.81,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,TCP,72.05452636448021,58.81,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,ICMP,47.833328988116584,58.81,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,TWAMP,47.025067973928934,58.81,65.09
Quebec,45.505294,-73.613987,2023-06-01 08:00:00,app,UDP,23.053224530278722,58.81,65.09
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,HTTP,66.4763569167012,69.32,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,HTTPS,84.83871913035662,69.32,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,TCP,85.25948229255572,69.32,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,ICMP,85.07642207620216,69.32,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,TWAMP,60.53405448110095,69.32,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,network,UDP,33.756623849226756,69.32,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,HTTP,66.30311198551685,62.38,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,HTTPS,94.47446695186366,62.38,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,TCP,66.69979939820821,62.38,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,ICMP,39.21681610567915,62.38,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,TWAMP,47.956421446260805,62.38,65.85
Ontario,43.641128,-79.387787,2023-06-01 08:00:00,app,UDP,59.645747552410555,62.38,65.85
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,HTTP,67.2530683318032,75.56,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,HTTPS,81.1010963082854,75.56,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,TCP,82.73837658037864,75.56,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,ICMP,95.56437491496833,75.56,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,TWAMP,65.71943945328485,75.56,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,network,UDP,60.97463685107165,75.56,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,HTTP,70.39429101905415,69.22,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,HTTPS,85.80090011503022,69.22,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,TCP,68.87382805904795,69.22,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,ICMP,85.18741972609703,69.22,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,TWAMP,61.43925591480559,69.22,72.39
Manitoba,49.894225,-97.131744,2023-06-01 08:00:00,app,UDP,43.63935657203943,69.22,72.39
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,HTTP,70.1847870355421,70.19,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,HTTPS,92.21921731575357,70.19,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,TCP,55.066919090969385,70.19,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,ICMP,98.13230302839476,70.19,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,TWAMP,55.714039309261665,70.19,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,network,UDP,49.80423556371635,70.19,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,HTTP,71.989161619284,63.16,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,HTTPS,84.91700229508034,63.16,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,TCP,69.03378346561296,63.16,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,ICMP,55.80857316094625,63.16,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,TWAMP,65.1314399736375,63.16,66.67
Quebec,45.505294,-73.613987,2023-06-01 10:00:00,app,UDP,32.081484311270394,63.16,66.67
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,HTTP,81.45965058277099,63.62,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,HTTPS,91.82726563384207,63.62,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,TCP,69.67751091729315,63.62,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,ICMP,48.29039344328174,63.62,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,TWAMP,52.519094308208054,63.62,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,network,UDP,37.91702068020143,63.62,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,HTTP,69.81042924741853,64.66,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,HTTPS,87.17060770430814,64.66,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,TCP,59.32029525211516,64.66,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,ICMP,64.78180232367735,64.66,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,TWAMP,70.2021750244447,64.66,64.14
Ontario,43.641128,-79.387787,2023-06-01 10:00:00,app,UDP,36.64882858262325,64.66,64.14
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,HTTP,72.05980561770727,70.63,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,HTTPS,94.93516514566335,70.63,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,TCP,79.68117617525692,70.63,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,ICMP,59.792808283070485,70.63,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,TWAMP,71.22705486223626,70.63,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,network,UDP,46.077642354502856,70.63,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,HTTP,72.73683372897061,67.73,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,HTTPS,88.94537089452368,67.73,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,TCP,65.9374652847724,67.73,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,ICMP,55.252784819820754,67.73,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,TWAMP,74.42167431575419,67.73,69.18
Manitoba,49.894225,-97.131744,2023-06-01 10:00:00,app,UDP,49.1088437542183,67.73,69.18
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,network,HTTP,79.86457635502904,68.07,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,network,HTTPS,87.00727458989489,68.07,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,network,TCP,73.39259667307785,68.07,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,network,ICMP,55.646149385288396,68.07,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,network,TWAMP,64.31630152149195,68.07,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,network,UDP,48.18615796187278,68.07,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,app,HTTP,66.6739466404111,69.46,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,app,HTTPS,81.86309103140451,69.46,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,app,TCP,72.1639906285377,69.46,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,app,ICMP,79.32830974578485,69.46,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,app,TWAMP,68.95259152599981,69.46,68.77
Quebec,45.505294,-73.613987,2023-06-01 12:00:00,app,UDP,47.788446626403754,69.46,68.77
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,network,HTTP,75.52259647841827,67.3,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,network,HTTPS,89.10006919470814,67.3,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,network,TCP,65.48358618610952,67.3,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,network,ICMP,65.59885877917313,67.3,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,network,TWAMP,66.29411263190727,67.3,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,network,UDP,41.79563331472486,67.3,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,app,HTTP,72.75776683168354,72.83,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,app,HTTPS,86.50506487228532,72.83,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,app,TCP,85.46507846245478,72.83,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,app,ICMP,89.13306907457944,72.83,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,app,TWAMP,71.94932945891995,72.83,70.06
Ontario,43.641128,-79.387787,2023-06-01 12:00:00,app,UDP,31.161682166232982,72.83,70.06
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,network,HTTP,71.77520035751637,65.0,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,network,HTTPS,94.58190429234898,65.0,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,network,TCP,54.03174803397677,65.0,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,network,ICMP,96.90112804406726,65.0,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,network,TWAMP,49.38988381785496,65.0,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,network,UDP,23.322727709348932,65.0,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,app,HTTP,70.40959656294054,69.05,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,app,HTTPS,89.52563548731588,69.05,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,app,TCP,59.594142049462214,69.05,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,app,ICMP,84.78867343075652,69.05,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,app,TWAMP,67.14974805593455,69.05,67.02
Manitoba,49.894225,-97.131744,2023-06-01 12:00:00,app,UDP,42.80867105210159,69.05,67.02
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,network,HTTP,72.85381161628497,67.73,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,network,HTTPS,84.8932347720196,67.73,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,network,TCP,67.97110131470623,67.73,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,network,ICMP,71.71528959571206,67.73,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,network,TWAMP,57.65583857895302,67.73,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,network,UDP,51.314188408148325,67.73,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,app,HTTP,75.6459346374186,63.53,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,app,HTTPS,97.85734620697366,63.53,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,app,TCP,68.85572552190516,63.53,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,app,ICMP,44.33485811318711,63.53,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,app,TWAMP,63.98738065135538,63.53,65.63
Quebec,45.505294,-73.613987,2023-06-01 14:00:00,app,UDP,30.509501605635904,63.53,65.63
Ontario,43.641128,-79.387787,2023-06-01 14:00:00,network,HTTP,71.39417891729039,61.61,62.56
Ontario,43.641128,-79.387787,2023-06-01 14:00:00,network,HTTPS,87.97473564687033,61.61,62.56
